1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
,385262.712,242652.279,328375.464,211686.729,235625.951,183603.883,260779.676,126150.962,211120.061,296336.601,254304.063,215595.989,323788.349,354432.152,204036.174,353027.577,402573.773,362761.979,346560.421,331795.963,364551.356,150484.018,415956.792,109544.044,323785.978,316853.188,352869.161,343904.738,249835.514,367158.878,323328.225,399600.81,194450.872,250675.402,579682.443,454353.549,390953.863,285719.904,445517.391,266691.196,281033.36,343644.506,223470.736,214712.518,120705.122,231361.859,192273.933,
,378583.435,233002.783,323763.432,216031.073,226988.854,174374.154,247078.207,126946.925,207796.654,292211.592,249895.785,209275.91,323787.778,344305.958,206464.425,345103.813,390113.991,350574.368,345240.8,327716.0,360139.308,147952.977,411777.054,105199.455,320479.254,310769.174,346097.101,340312.467,252662.425,361378.731,316153.74,399777.3,192176.766,241520.63,569590.452,447220.321,383689.218,281062.484,441299.092,258176.748,277608.705,335857.352,217823.326,208535.615,120561.351,231626.967,186416.84,
,367529.727,233828.295,323932.537,223749.898,222126.284,176198.381,236425.028,121786.728,204870.408,289668.686,247990.868,205473.7,322167.7,332363.536,203828.138,342419.95,380772.238,342134.501,342188.811,325670.759,351959.196,144437.888,406988.571,103239.373,315679.622,313749.986,332675.507,337521.608,251371.008,354937.107,308780.857,403229.453,186888.605,236347.243,564907.378,442029.213,374524.974,277829.256,438265.153,253815.211,271228.954,331768.823,213671.875,203523.415,119888.09,230844.592,181794.276,
,363972.855,233204.916,322139.661,216755.831,213961.316,164749.472,232296.853,122289.033,199976.307,286703.334,248791.48,202176.876,318435.85,331090.781,200616.374,332636.148,376479.096,336601.103,335379.762,320135.04,345197.688,144130.745,400456.416,100823.475,312936.534,314456.626,322239.141,335331.344,248479.995,350382.156,304024.766,403084.699,182673.235,227596.286,560700.297,438009.962,364299.617,278489.795,434162.312,248263.203,266402.827,323164.231,209050.861,199434.367,117147.281,229279.939,177209.582,
,361041.995,227561.041,314299.213,213743.728,205561.523,148883.175,221857.886,111859.365,195668.971,282085.686,253672.208,201692.462,314687.798,322206.656,197042.928,324875.19,370822.688,330002.658,326571.284,313217.715,344371.765,146597.911,395446.393,95702.842,308579.458,315514.407,317954.348,333783.04,247795.635,344535.01,298433.699,392139.372,180027.482,220023.233,556479.053,429504.899,355059.708,275447.664,431279.367,243124.632,261070.577,321601.471,208099.236,194020.03,114852.607,232023.594,170986.928,
,360539.995,225876.305,311444.531,209597.949,200581.541,152756.322,224748.704,101233.181,186782.17,279327.564,255445.512,199456.496,307667.114,319979.064,194441.334,316198.794,367851.639,326100.981,319196.132,308138.715,344039.804,149494.933,390847.366,91112.682,303003.047,313628.566,310778.567,326267.532,246298.258,340941.355,295952.861,382198.064,178309.067,215816.966,553297.727,421223.33,344341.02,274546.864,424918.224,238962.993,253671.647,319402.488,204517.918,190188.265,114482.276,231156.451,164447.077,
,358197.552,215410.404,307761.151,202037.043,191688.364,151177.135,227285.421,103654.748,179598.335,277339.401,252901.109,199643.796,299430.876,322068.426,190000.102,311548.249,369175.223,325550.899,314750.182,302648.364,340984.71,151068.512,382573.393,86909.342,296575.992,309835.228,303693.968,316975.314,240501.912,334101.01,292368.31,377777.883,174480.579,212678.382,547674.13,412625.338,341749.677,271160.507,415745.997,235581.285,245704.001,316701.264,197359.333,185089.585,113924.325,231603.442,163145.103,
,345010.201,205375.947,299506.352,197535.82,181331.973,146006.226,221823.394,99748.955,184365.316,270554.793,244710.595,198690.027,291989.585,322286.016,182851.447,303977.882,370078.36,322064.403,308372.752,295575.832,342025.309,152036.491,374276.958,83397.111,290335.291,306595.688,296971.741,308384.888,237159.584,328134.986,291029.409,370744.683,172270.896,209103.923,535889.84,404772.311,338673.447,265816.657,408841.7,234415.497,241600.421,312895.568,190849.837,179123.222,114350.4,231538.633,162692.509,
,339085.747,199521.547,296256.509,194919.882,180549.636,148083.512,220714.839,92898.573,181453.923,266920.131,234068.334,196256.002,284149.963,317981.303,178743.232,302989.954,368253.57,315680.862,303616.33,291212.304,342112.024,151426.282,369829.776,79200.322,283452.327,304211.33,290568.785,305650.937,235267.136,322911.231,288242.347,362696.679,170906.562,209000.478,527887.351,388941.425,336617.37,258159.358,398482.627,230124.069,233001.752,312410.868,186878.565,173180.451,114488.628,232094.264,160780.523,
,338592.915,191145.674,295075.606,189181.09,176443.486,148153.88,203639.115,93847.845,172184.525,266905.337,223400.375,193170.522,276207.827,315463.033,175800.349,301031.314,366597.124,310840.196,301873.732,286988.364,336058.334,149981.762,362904.549,77060.695,278333.924,302666.308,279593.352,302807.19,230880.814,319753.3,283265.06,359259.717,168434.469,209221.34,520802.838,384814.182,334548.745,254699.181,388522.809,225095.959,226476.675,307751.821,179487.058,169252.641,116092.702,230510.57,158735.712,
